no	feature_prev	feature
1	T_all_discordant_frag	tumor_var_read
2	T_split_frag	tumor_var_split_read
3	MAPQ1_med	tumor_var_mapq_bpt1
4	MAPQ2_med	tumor_var_mapq_bpt2
5	N_all_discordant_frag	normal_var_read
6	N_split_frag	normal_var_split_read
7	p_value	p_value_ref_var_read
8	depth_ratio_change_bp1	tumor_depth_change_bpt1
9	depth_ratio_change_bp2	tumor_depth_change_bpt2
10	N_BP1_other_discordant_cluster	normal_other_var_cluster_bpt1
11	N_BP2_other_discordant_cluster	normal_other_var_cluster_bpt2
12	purity	tumor_cell_fraction
13	ploidy	tumor_ploidy
14	T_sa_tag_frag	tumor_var_sa_read
15	distance	inter_bpt_distance
16	pon_sample	normal_panel
17	SVtype_DEL	sv_type_DEL
18	SVtype_DUP	sv_type_DUP
19	SVtype_TRA	sv_type_TRA
20	SVtype_INV	sv_type_INV
21	N_same_clip	normal_same_clip
22	vaf_BP1	tumor_vaf_bpt1
23	vaf_BP2	tumor_vaf_bpt2
24	T_BP1_clip_readN	tumor_clipped_read_bpt1
25	T_BP2_clip_readN	tumor_clipped_read_bpt2
26	N_BP1_clip_readN	normal_clipped_read_bpt1
27	N_BP2_clip_readN	normal_clipped_read_bpt2
28	T_ref1_count	tumor_ref_read_bpt1
29	T_ref2_count	tumor_ref_read_bpt2
30	N_ref1_count	normal_ref_read_bpt1
31	N_ref2_count	normal_ref_read_bpt2
32	T_BP1_other_discordant_cluster	tumor_other_var_cluster_bpt1
33	T_BP2_other_discordant_cluster	tumor_other_var_cluster_bpt2
34	new_mate1	tumor_new_mate_bpt1
35	new_mate2	tumor_new_mate_bpt2
36	neo_mate1	tumor_neo_mate_bpt1
37	neo_mate2	tumor_neo_mate_bpt2
38	gc_content1	gc_content_bpt1
39	gc_content2	gc_content_bpt2
40	N_depth1	normal_depth_bpt1
41	N_depth2	normal_depth_bpt2
42	POS1_variation_TRUE	pos_var_bpt1_TRUE
43	POS1_variation_FALSE	pos_var_bpt1_FALSE
44	POS2_variation_TRUE	pos_var_bpt2_TRUE
45	POS2_variation_FALSE	pos_var_bpt2_FALSE
46	MH_TRUE	mh_TRUE
47	MH_FALSE	mh_FALSE
48	wgd_status_TRUE	wgd_TRUE
49	wgd_status_FALSE	wgd_FALSE
50	histology_Biliary	tumor_tissue_Biliary
51	histology_Bladder	tumor_tissue_Bladder
52	histology_Bone_SoftTissue	tumor_tissue_Bone_SoftTissue
53	histology_Breast	tumor_tissue_Breast
54	histology_Cervix	tumor_tissue_Cervix
55	histology_CNS	tumor_tissue_CNS
56	histology_Colon_Rectum	tumor_tissue_Colon_Rectum
57	histology_Esophagus	tumor_tissue_Esophagus
58	histology_Head_Neck	tumor_tissue_Head_Neck
59	histology_Hematologic	tumor_tissue_Hematologic
60	histology_Kideny	tumor_tissue_Kideny
61	histology_Liver	tumor_tissue_Liver
62	histology_Lung	tumor_tissue_Lung
63	histology_Ovary	tumor_tissue_Ovary
64	histology_Pancreas	tumor_tissue_Pancreas
65	histology_Prostate	tumor_tissue_Prostate
66	histology_Skin	tumor_tissue_Skin
67	histology_Stomach	tumor_tissue_Stomach
68	histology_Thyroid	tumor_tissue_Thyroid
69	histology_Uterus	tumor_tissue_Uterus
70	soft_masked1	soft_mask_bpt1
71	soft_masked2	soft_mask_bpt2
